TransactionDate,PostedDate,Description,Amount,CategoryId,CategoryName,InclusionStatus
2025-01-06,2025-01-07,"CIBC BANK PMT/PAIEMENT BCIC",-2800.00,"payment","Payment",Exclude
2024-12-20,2024-12-23,"SP IND. PLASTICS & PAI SURREY BC",36.95,"hobbies","Hobbies",Include
2024-12-20,2024-12-23,"SHOPPERS DRUG MART 225 KELOWNA BC",25.17,"personal-care","Personal Care",Include
2024-12-18,2024-12-23,"ARBY©S #2033 Q2P KELOWNA BC",14.10,"fast-food","Fast Food",Include
2024-12-20,2024-12-23,"INDIGO 916 KELOWNA BC",17.00,"gifts","Gifts",Include
2024-12-19,2024-12-23,"BLUETAIL SUSHI KELOWNA BC",19.00,"dining","Dining & Restaurants",Include
2024-12-21,2024-12-23,"AMAZON* Z91PB0LU1 VANCOUVER BC",82.15,"uncategorized","Uncategorized",Include
2024-12-20,2024-12-23,"MICHAELS #3929 KELOWNA BC",27.99,"hobbies","Hobbies",Include
2024-12-21,2024-12-23,"RAKUTEN KOBO INC. TORONTO ON",10.50,"entertainment","Entertainment",Include
2024-12-21,2024-12-23,"WENDY©S #6517 KELOWNA BC",9.98,"fast-food","Fast Food",Include
2024-12-23,2024-12-24,"COSTCO WHOLESALE W1578 KELOWNA BC",245.08,"groceries","Groceries",Include
2024-12-23,2024-12-24,"RAKUTEN KOBO INC. TORONTO ON",20.00,"entertainment","Entertainment",Include
2024-12-23,2024-12-26,"PETRO-CANADA 68287 KELOWNA BC",64.38,"gas","Gas & Fuel",Include
2024-12-24,2024-12-26,"TIM HORTONS #1459 250-863-9709 BC",14.96,"fast-food","Fast Food",Include
2024-12-25,2024-12-26,"NETFLIX.COM Vancover BC",23.51,"entertainment","Entertainment",Include
2024-12-27,2024-12-30,"LANDMARK WEB TICKETING 403-262-4255 AB",30.45,"uncategorized","Uncategorized",Include
2024-12-26,2024-12-30,"WAL-MART #3042 KELOWNA BC",112.38,"groceries","Groceries",Include
2024-12-31,2025-01-02,"COSTCO WHOLESALE W1578 KELOWNA BC",104.93,"groceries","Groceries",Include
